Id,English,Hindi
79,Above par,औसत से अधिक
80,Above stairs,मालिक के रहने की जगह में
81,Above suspicion,संदेह से परे
82,Abracadabra,छू मंतर काली कलंतर
83,Abrade,"घिसना, रगड़ कर साफ़ करना"
84,Abrasion,"घिसाई, अपघर्षण, खरोंच"
85,Abrasive,"अपघर्षी, सख्त, कठोर, खुरदरा, कर्कश, अपघर्षक"
86,Abrasively,कर्कशता से
87,Abrasiveness,"खुरदरापन, कर्कशता"
88,Abridge,"घटाना, संक्षिप्त करना"
89,Abridgement,संक्षेपण
90,Abridgment,संक्षेपण
91,Abroad,"बाहरी, विदेशी, चारों ओर फैला हुआ, विदेश में, घर के बाहर"
92,Abrogate,"निरस्त करना, रद्द करना"
93,Abrogation,"निरसन, रद्द करना"
94,Broken reed,अविश्वसनीय व्यक्ति
95,Abrupt,"अशिष्ट, दुरारोह, खड़ा, असंगत, अप्रत्याशित, आकस्मिक, उखड़ा-उखड़ा, असम्बद्ध, रूखा, एकाएक"
96,Abruptly,"अशिष्टता से, रूखेपन से, अचानक ही"
97,Abruptness,"खड़ापन, हड़बड़ी, उतावलापन, दुरारोहता, रूखापन, रुखाई, आकस्मिकता"
98,Abscess,फोड़ा
99,Abscond,फ़रार
100,Abseil,"रज्जु-आरोहण, दोहरी रस्सी के सहारे उतरना"
101,Absence,"गैरहाजिरी, अभाव, अनुपस्थिति"
102,Absent,"ग़ैरहाज़िर, नहीं, खोया-खोया, अनुपस्थित"
103,Absentee,अनुपस्थित
104,Absenteeism,"अनुपस्थिति, अनुपस्थितता"
105,Absentee landlord,दूरवासी जमींदार
106,Absently,अनमने भाव से
107,Absent minded,"अनमना, भुलक्कड़"
108,Absent mindedly,"भुलक्कड़पन से, अनमनापन से"
109,Absent mindedness,"अनमनापन, भुलक्कड़पन"
110,Flabby," थुलथुल, कमज़ोर"
111,Absolute,"परम तत्त्व, पूर्ण, पूर्ण, पूर्ण, असीम, निरपेक्ष, निरंकुश, सुनिश्चित"
112,Absolutely,"बिल्कुल, अबाध रूप से, पूरी तरह से, एकदम, पूर्णतया, बहुत ही, पूर्णतः"
113,Absolute majority,पूर्ण बहुमत
114,Absolute zero,परम शून्य
115,Absolution,"निर्मुक्ति, पापक्षमा"
116,Absolutism,निरंकुशता
117,Absolutist,"स्वेच्छाचारितावादी, निरंकुशतावादी, परम तत्ववादी, स्वेच्छाचारितावादी"
118,Absolve,"निरपराध ठहराना, दोषमुक्त करना, मुक्त्त करना"
119,Absorbed,"डूबा, तल्लीन"
120,Absorbency,अवशोषकता
121,Absorbent,"अवशोषी, अवशोषक पदार्थ, अवशोषक"
122,Absorb,"अवशोषण करना, खींच लेना, खपाना, निगलना, अपनाना, सोखना, सोख लेना, कम करना, लेना, समाहित करना, ध्यानमग्न करना, तल्लीन करना, आत्मसात् करना"
123,Absorbing,दिलचस्प
124,Absorption,"अन्यमनस्कता, अन्यचित्तता, अवशोषण, तल्लीनता"
125,Abstainer,"संन्यासी, परहेज़ी"
126,Abstain,"दूर रहना, परहेज़ करना, मतदान में भाग नहीं लेना"
127,Abstemious,संयमी
128,Abstention,"तटस्थ, परहेज़"
129,Abstinence,परहेज़
130,Abstract,"अव्यावहारिक, भाववाचक, सारांश लिखना, अमूर्त, सारांश, संक्षिप्त करना, निकाल देना, अमूर्त, अमूर्त, अमूर्त विचार, सामान्य, चुराना"
131,Abstracted,"अन्यमनस्क, निकाला गया"
132,Abstractedly,अनमने भाव से
133,Abstraction,"निकालना, पृथक्करण, अमूर्तता, अमूर्तता"
134,Abstractly,अनमने भाव से
135,Abstract noun,भाववाचक संज्ञा
136,Abstruse,गूढ़
137,Abstruseness,"अस्पष्टता, गहनता"
138,Abstrusity,"गहनता, गहराई"
139,Absurd,"बेतुका, असंगत, हास्यास्पद, बेढंगा"
140,Absurdity,"अनर्थकता, बेतुकापन"
141,Absurdly,बेतुके रूप से
142,Absurdness,बेतुकापन
143,Absymally,बहुत ही भद्दे ढंग से
144,Abundance,प्रचुरता
145,Abundant,"बहुत, प्रचुर"
146,Abundantly,अधिक मात्रा में
147,Abuse,"दुरुपयोग करना, बरबाद करना, गाली, दुरुपयोग करना, दुरुपयोग, दुर्व्यवहार, दुर्व्यवहार करना"
148,Abuser,दुर्व्यवहारी
149,Abusive,"अपशब्दपूर्ण, अपमानजनक"
150,Abusively,ग़लत तरीक़े से
151,Abut,"लगा हुआ होना, सटा हुआ होना"
152,Abysmal,"बहुत ही ख़राब, अगाध"
153,Abysmally,बेकार ढंग से
154,Abyss,"नर्क, रसातल"
155,Acacia,अकेशिया
156,Academe,शैक्षिक विश्व
157,Academia,शैक्षिक विश्व
158,Academically,शैक्षणिक दृष्टि से
159,Academician,अकादमी सदस्य
160,Academic,"अव्यावहारिक, शिक्षक, विद्वान, शैक्षिक, अकादमिक"
161,Academy Award,अकादमी पुरस्कार
162,Academy,अकादमी
163,Accede,"पद ग्रहण करना, मान लेना"
164,Accelerate,"तेज़ी से बढ़ाना, गति बढ़ाना"
165,Acceleration,"बढ़ोतरी, त्वरण"
166,Accelerator,त्वरक
167,Accent,"लहज़ा, स्वराघात"
168,Accentuation,स्वराघात
169,Accentuate,अधिक सुस्पष्ट करना
170,Acceptable,"योग्य, संतोषजनक, काफ़ी, ठीक, अनुकूल, स्वीकार्य"
171,Acceptablility,स्वीकार्यता
172,Acceptably,ठीक-ठाक
173,Acceptance,"स्वीकृति, स्वीकरण, अनुमोदन"
174,Accept,"स्वीकार करना, लेना, स्वीकार करना, लेना, हां कहना, स्वीकार करना, मोल लेना, स्वीकार करना"
175,Accepted,"मान्यताप्राप्त, वैध, स्वीकार्य, स्वीकृत"
176,Accessibility,"सुलभता, उपलब्धता, सुगम्यता"
177,Accessible,"गमनीय, गम्य, अभिगम्य, सुलभ, सुगम्य"
178,Access,"अभिगम्यता, ऐक्सेस करना, तक पहुँचना, प्रवेश मार्ग"
179,Accession,"अनुवृद्धि, राज्यारोहण, पदग्रहण"
180,Accessory,"उपसाधन, एक्सेसरी, सहयोगी, अतिरिक्त वस्तु"
181,Access road,सर्पी सड़क
182,Access road,सर्पी सड़क
183,Achievement,उपलब्धि
184,Acchievement,सफलता
185,Accidental,"आनुषांगिक, आकस्मिक"
186,Accidentally,अचानक
187,Accident,"आकस्मिक घटना, दुर्घटना, अप्रत्याशित घटना, इत्तफ़ाक, दुर्घटना"
188,Accident prone,दुर्घटनाबहुल
189,Acclaim,"प्रशंसा, वाहवाही, स्वागत करना, अनुमोदन"
190,Acclamation,"प्रशंसा, वाहवाही, अभिनंदन"
191,Acclimatisation,पर्यनुकूलन
192,Acclimatise,पर्यनुकूलन करना
193,Acclimatization,पर्यनुकूलन
194,Acclimatize,"पर्यनुकूलित होना, पर्यनुकूलन करना"
195,Acclivitous,"उत्प्रवण, चढ़ावदार, आरोही"
196,Accolade,पुरस्कार
197,Accommodate,"अनुरूप बनाना, ध्यान में रखना, आना, सहायता करना, अनुकूल बनाना"
198,Accommodating,समंजनशील
199,Accommodation,"निवास-स्थान, आवास, समझौता, सामंजस्य"
200,Accommodations,"निवास, आवास"
201,Accompaniment,संगत
202,Accompanist,संगतकार
203,Accompany,"संगत करना, साथ-साथ होना,  जाना"
204,Accomplish,पूरा करना
205,Accomplishment,"निष्पत्ति, योग्यता, कौशल, प्रवीणता, समापन, निपुणता, उपलब्धि"
206,Accomplice,"पाप-सहभागी, सह-अपराधी"
207,Accomplishable,"निष्पाद्य, कार्यान्वित होने योग्य"
208,Accomplished,"प्रमाणित, समाप्त, संपन्न, निपुण, सुसंस्कृत"
209,Accordance,"ऐक्य, अधिकार अनुदान, सहमति, अनुरूपता"
210,Accord,"ऐक्य, साथ जाना, मेल खाना, सहानुभूतिपूर्ण अनुकूलता, सहानुभूतिपूर्ण सुसंगतता, अनुबंध, सहमति, स्वेच्छा, इच्छा, संधि, अभिसंविदा, मिलना, मेल खाना, अनुरूप होना"
211,Accordingly,"परिस्थिति के अनुसार, तदनुसार, फलस्वरूप"
212,Accordion,अकॉर्डियन
213,Accost,"रिझाना, टोकना, संबोधित करना, फ़ँसाना"
214,Accountability,"जवाबदेही, उत्तरदायित्व"
215,Accountable,"जिम्मेदार, उत्तरदायी"
216,Accountancy,"हिसाब-किताब, लेखाविधि"
217,Accountant,"मुनीम, लेखाकार"
218,Account,"खाता, जमा खाता, हिसाब रखना, विवरण देना, वर्णन करना, जवाब देना, स्पष्टीकरण देना, मूल्य, वजह, कारण, बिल, व्याख्या, स्पष्टीकरण, लेखा-जोखा, समाचार-विवरण, समाचार, वृत्तांत, खबर, लेखा, मानना, विवरण, समझना, लेखा"
219,Account for,"जवाब देना, लेखा-जोखा करना, पता लगना, मार गिराना, कारण बताना, बताना, कारण होना, से आना"
220,Accounting,"लेखा पद्धति, लेखा प्रणाली, लेखाकर्म, लेखाविधि, हिसाब-किताब, लेखा-जोखा, लेखा"
221,Accreditation,"आधिकारिक मान्यता, प्रमाणन"
222,Accredited,"मान्यता-प्राप्त, अधिकृत, प्रमाणित"
223,Accredit,"मान्यता देना, अधिकार देना, श्रेय देना, अधिकृत करना"
224,Accretion,"अभिवृद्धि, संचयन"
225,Accrue,"हिस्से में आना, इकट्ठा करना, मिल्ना, अधिकार में आना, बढ़ना, जमा करना"
226,Accumulate,"इकट्ठा करना, ढेर लगना, जमा करना"
227,Accumulation,"संग्रहण, जमाव, संचयन"
228,Accumulative,"संचयशील, संचयी"
229,Accuracy,"सत्यता, खरापन"
230,Accurate,"एकदम सही, ठीक, अचूक, सही, परिशुद्ध"
231,Accurately,"सही ढंग से, सही-सही"
232,Accursed,"शापग्रस्त, अभिशप्त, खराब, गर्हित"
233,Accusation,"इल्ज़ाम, अभियोग, दोषारोपण"
234,Accusative,"द्वितीया, इल्ज़ाम लगाता, अभियोगात्मक, कर्मकारक"
235,Accusatory,"इल्ज़ाम लगाता, अभियोगात्मक"
236,Accused,"मुलज़िम, दोषी, अभियुक्त"
237,Accuse,"इल्ज़ाम लगाना, अभियोग लगाना, दोष लगाना"
238,Accuser,"फ़रियादी, अभियोक्ता"
239,Accusing,अभियोगात्मक
240,Accusingly,"अभियोगात्मक ढंग से, अभियोग लगाते हुए"
241,Accustomed,"हमेशा का, परिचित, अभ्यस्त"
242,Accustom,"साधना, आदी बनाना, अभ्यस्त करना"
243,Ace,"के विरुद्ध एस सर्विस करना, के विरुद्ध एस बनाना, आसानी से सफलता पा लेना, प्रवीण, शानदार, एस, इक्का, सर्वश्रेष्ठ"
244,Acerbic,"तिक्त, कषाय, कसैला, कटु"
245,Acerbity,"तिक्तता, कड़वापन"
246,Acetate,"ऐसिटेट, ऐसिटेट रेयॉन"
247,Acetic acid,एसीटिक अम्ल
248,Acetic,ऐसीटिक
249,Acetylene,ऐसीटिलीन गैस
250,Ache,"पीड़ा, तरसना, दर्द करना, दर्द, तकलीफ़ देना, दर्द करना"
251,Achievable,"निष्पाद्य, कार्यान्वित होने योग्य"
252,Achieve,"सफल होना, पाना, प्राप्त करना, पूरा कर देना"
253,Achira,सर्वजया
254,Achromasia,"निर्वर्णता, अवर्णता, पीलापन"
255,Acid,"खट्टा, कटु, तिक्त, ऐसिड, अम्ल, व्यंग्यात्मक, अम्लीय, ऐसिड"
256,Acid house,एसिड हाउस
257,Acidify,"अम्लीय करना, आम्ल होना, खट्टा करना"
258,Acidification,"अम्लीभवन, अम्लीकरण"
259,Acidly,रुखाई से
260,Acid rain,अम्ल-वर्षा
261,Acid test,"साख निर्धारण, निर्णायक परीक्षा, अम्ल-परीक्षण, अग्नि-परीक्षा"
262,Acidulous,"खट्टा, अम्लीय"
263,Acknowledge,"माना जाना, आभार प्रकट करना, पसंद करना, प्राप्ति सूचना देना, स्वीकार करना, मानना"
264,Acknowledgement,"प्रत्युत्तर, पहचान, आभारोक्ति, मान्यता, पावती रसीद, प्रतिदान, स्वीकृति, अभिस्वीकृति, आभारोक्ति"
265,Acknowledgment,"पहचान, मान्यता, प्रतिदान, पावती रसीद, प्रत्युत्तर, आभारोक्ति, अभिस्वीकृति, आभारोक्ति"
266,Close call,बाल-बाल बचना
267,Close shave,बाल-बाल बचना
268,Closed book,अपरिचित विषय
269,Acme,"चरम बिंदु, शिखर, सर्वोच्च शिखर, पराकाष्ठा"
270,Acolyte,"परिचर, अनुचर, पादरी-सेवक, सहायक"
271,Aconite,कालकूट
272,Acorn,"शाहबलूत का फल, बाँजफल"
273,Acoustically,"ध्वनि की दृष्टि से, ध्वानिकी की दृष्टि से"
274,Acoustic,"ध्वानिक, शाब्दिक, अविद्युत, ध्वानिकी, ध्वनि-संबंधी"
275,Acoustics,"ध्वनिशास्त्र, ध्वानिकी"
276,Acquaintance,"परिचय, पहचान, परिचय, जानकारी"
277,Acquainted,परिचित
278,Acquaint,"बताना, सूचित करना, जानना, परिचित होना, मिलाना, परिचय कराना, अवगत कराना"
279,Acquiesce,सहमति देना
280,Acquiescence,"रज़ामंदी, सम्मति, सहमति"
281,Acquiescent,"राज़ी, सहमत, अनुवर्ती"
282,Acquire,"धारण करना, अपनाना, लेना, पाना, हासिल करना, प्राप्त करना, उपलब्ध करना, अर्जित करना"
283,Acquisition,"अभिग्रहण, संपत्ति, ज्ञान अर्जन, विद्या प्राप्ति, कला, हुनर, संकलन, प्राप्ति"
284,Acquisitive,अभिग्रहणशील
285,Acquisitiveness,अभिग्रहणशीलता
286,Acquit,"आचरण करना, व्यवहार करना, निर्दोष ठहराना, बरी करना, प्रस्तुत करना"
287,Acquittal,"दोषमुक्ति, रिहाई"
288,Acreage,"भू-क्षेत्र, एकड़वार क्षेत्रफल"
289,Acre,एकड़
290,Acrid,"तिक्त, कषाय, कसैला, तीखा, तीक्ष्ण"
291,Acrimonious,कटुतापूर्ण
292,Acrimoniously,कटुतापूर्ण ढंग से
293,Acrimony,"तिक्तता, कटुता, कड़वाहट"
294,Acrobat,कलाबाज़
295,Acrobatics,"हवाई कलाबाज़ी, हवाई करतब, कलाबाज़ी"
296,Acronym,"परिवर्णी शब्द, आदिवर्णिक शब्द"
297,Across country,छोटे रास्ते से
298,Across from,के सामने
299,Across,"तिरछा, तिरछे ढंग से, में सर्वत्र, तरफ़, सामने"
300,Acrostic,"परिवर्णी काव्य, चित्राक्षरी, आद्यंताक्षरी"
301,Acrylic,"ऐक्रिलिक तंतु, ऐक्रिलिक"
302,Act,"काम करना, ढोंग, नकल करना, जैसे करना, नाटक करना, कार्य, अंक, बर्ताव करना, कर्म, दिखना, कार्यवाही करना, ढोंग करना, अभिनय करना, अभिनय करना, प्रदर्शन, असर करना,  करना, कृत्य, नाटक, पेश आना, अधिनियम"
303,Act as,"जैसे करना, नकल करना, की तरह काम करना, की भूमिका निभाना"
304,Act for,का प्रतिनिधित्व करना
305,Acting,"स्थानापन्न, अभिनीति, कार्यकारी, अभिनय"
306,Actinotherapy,विकिरण चिकित्सा
307,Actionable,वाद योग्य
308,Action,"के खिलाफ़ मुकदमा दायर करना, प्रभाव, दावा, कानूनी कार्रवाई, पर कानूनी कार्रवाई करना, एक्शन, भिड़ंत, प्रक्रिया, सैनिक कार्रवाई, क्रियाशीलता, कार्रवाई, गति, काम, कलपुर्ज़ा, मुठभेड़, घटनाक्रम, असर, कार्य, क्रियाशील, क्रिया, कार्यकलाप"
309,Action group,कार्रवाई दल
310,Action packed,क्रियाकलाप और उत्तेजना से भरपूर
311,Action replay,"पुनर्प्रदर्शन, ऐक्शन रिप्ले"
312,Action stations,कार्रवाई के लिए तैयार हो!
313,Activate,"रेडियोधर्मी बनाना, वायु-संचरित करना, और अधिशोषित करना, क्रियाशील करना, सक्रिय करना"
314,Activation,"सक्रियकरण, सक्रियण"
315,Active,"युद्ध के लिये तत्पर, युद्धरत, कारक, कर्तृवाचक, फुर्तीला, रेडियोधर्मी, तेज़, क्रियाशील, सक्रिय, जागृत, सक्रिय, प्रभावशाली, प्रभावकारी"
316,Active duty,सक्रिय रणसेवा
317,Actively,सक्रियता से
318,Active service,सक्रिय रणसेवा
319,Active voice,कर्तृवाच्य
320,ActiveX,ऐक्टिव-एक्स
321,Activism,"क्रियावाद, सक्रियतावाद"
322,Activist,"क्रियावादी, क्रियावादी"
323,Activity,"नैसर्गिक प्रक्रिया, प्राकृतिक प्रक्रिया, शारीरिक प्रक्रिया, क्रिया, सक्रियता, क्रियाशीलता, कार्यकलाप, क्रिया-कलाप, गतिविधि"
324,Act on,"कार्रवाई करना, पर चलना"
325,Actor,"अदाकार, अभिनेता"
326,Act out,"कार्यान्वित करना,  करना"
327,Actress,अभिनेत्री
328,Actual,"असली, तथ्यात्मक, सही, तथ्यपूर्ण, चालू, वर्तमान, विद्यमान, वास्तविक"
329,Actualities,वास्तविकता
330,Actuality,"यथार्थता, वास्तविकता"
331,Actually,"अभी, इस समय, वास्तव में, सचमुच"
332,Actuarial,"जीवनांकिक, बीमांकिक"
333,Actuary,बीमांकक
334,Actuate,"प्रोत्साहित करना, सक्रिय करना, चालू करना, प्रेरित करना"
335,Act up,"बद्तमीज़ी से पेश आना, अभद्र व्यवहार करना, तकलीफ़ देना, दर्द करना"
336,Act upon,"अमल करना, दबाव डालना, कार्रवाई करना, प्रभाव डालना"
337,Acuity,"कुशाग्रता, तीक्ष्णता"
338,Acumen,"शूल, काँटा, चतुराई, विदग्धता, कुशाग्रता"
339,Acupuncture,"सूची-वेधन, ऐक्यूपंक्चर"
340,Acupuncturist,ऐक्यूपंक्चर विशेषज्ञ
341,Acute accent,तीव्र बलाघात-चिन्ह
342,Acute angle,न्यून कोण
343,Acute,"तीक्ष्ण, तेज़, तीक्ष्ण, संवेगी"
344,Acutely,तीक्ष्णता से
345,Acuteness,तीक्ष्णता
346,Adage,लोकोक्ति
347,Adagio,"धीमे-धीमे, धीमी लय का संगीत"
348,Adamant,"अड़ा हुआ, अटल"
349,Adamantly,कठोरता से
350,Adam,आदम
351,Adaptability,"अनुकूलनीयता, अनुकूलनशीलता"
352,Adaptable,"अनुकूलनीय, अनुकूलनशील"
353,Adaptation,"संधानता, रूपांतरण, अनुकूलन"
354,Adapt,"अनुकूल बनाना, अनुकूल बनाना, रूपान्तरित करना"
355,Adaptive,"अनुकूलनक्षम, अनुकूलनीय, अनुकूली"
356,Adaptor,"उपायोजक, अनुकूलक"
357,Dark horse,अज्ञात अभ्यर्थी
358,Added,अतिरिक्त
359,Addendum,परिशिष्ट
360,Adder,गेहुँअन सर्प
361,Add,"जुड़ना, देना, जोड़ना, आगे बताना, जोड़ना, मिलाना, जोड़ना"
362,Addicted,आदी
363,Addict,"नशाखोर हो जाना, नशाखोर बना देना, नशेड़ी हो जाना, नशेड़ी बना देना, नशेड़ी, लती, आदी, व्यसनी"
364,Addiction,"चस्का, लत, व्यसन"
365,Addictive,व्यसनकारी
366,Add in,जोड़ना
367,Additional,अतिरिक्त
368,Additionally,इसके अलावा
369,Addition,"जुड़ाई, योग, वृद्धि, अनुवृद्धि, जोड़"
370,Additive,"अनुदैर्घ्य, योगज"
371,Addled,गड्ड-मड्ड
372,Add on,"जोड़, बढ़ोत्तरी, जोड़ा हुआ"
373,Add on,"पीछे लगाना, जोड़ना"
374,Addressee,पानेवाला
375,Address,"कहना, निशाना लेना, अड्रेस, संबोधित करना, भाषण, संबोधित करना, दक्षता, लगाना, शैली, देना, पता लिखना, संबोधित करना, ध्यान दिलाना, पता"
376,Addressed,"संबोधित, के नाम"
377,Add to,बढ़ाना
378,Adduce,"हवाला देना, उद्धृत करना"
379,Add up," होना, के बराबर होना, योग करना, अर्थ निकलना"
380,Dead duck,एकदम बेकार
381,Adenoidal,"नकियाता, कंठ-शालूक संबंधी"
382,Adenoid,"कण्ठशालूकाभ, लसीकाभ, ग्रंथ्याभ, कंठ शालूक"
383,Adept,"दक्ष, उस्ताद, प्रवीण, निपुण"
384,Adequacy,"आप्तता, पर्याप्तता"
385,Adequate,"समुचित, काफी, पर्याप्त"
386,Adequately,पर्याप्त रूप से
387,Adhere,"चिपकना, पालन करना"
388,Adi Granth,आदि ग्रंथ
389,Adherence,"आसंजनशीलता, निष्ठा"
390,Adherent,"आसंजित, अनुयायी"
391,Adhesion,"निष्ठा, आसंजनशीलता, समर्थन, चिपकाव"
392,Adhesive,"चिपकने वाला, आसंजक, चेपदार, चिपकाने वाला पदार्थ, चिपचिपा"
393,Ad hoc,"तदर्थ, अनौपचारिक"
394,Adieu,अल्विदा
395,Ad infinitum,अनंत काल तक
396,Dirty word,गंदी बात
397,Adjacent angle,संलग्न कोण
398,Adjacent,"समीपस्थ, निकटवर्ती, लगा हुआ, जुड़ा हुआ"
399,Doting,"जान छिड़कने वाला, अत्यधिक स्नेह करने वाला"
400,Adjectival,विशेषणात्मक
401,Adjectivally,"विशेषणात्मक ढंग से, विशेषण के रूप में"
402,Adjective,"विशेषणात्मक, विशेषण"
403,Candid,"मुँहफ़ट, स्पष्टवादी"
404,Adjoin,से लगा हुआ होना
405,Adjournment,अवकाश
406,Adjourn,"मुल्तवीअना, स्थगित करना, चला जाना"
407,Adjudge,"निर्णय देना, फ़ैसला सुनाना, घोषित करना"
408,Adjudicate,"फ़ैसला सुनाना, न्यायविचार करना, निर्णय देना, निर्णायक बनना"
409,Adjudication,न्याय निर्णय
410,Adjudicator,"न्याय निर्णायक, निर्णायक"
411,Adjunct,"योजक, सहायक, अनुलग्न"
412,Adjure,"आज्ञा देना, आदेश देना, विनती करना, अनुरोध करना"
413,Adjustable,समंजनीय
414,Adjust,"मुताबिक ढालना, व्यवस्थित करना, अनुकूल बनाना"
415,Adjustment,"सुधार, समंजन"
416,Adjutant,सहायक
417,Ad lib,"बिना तैयारी का, यथेच्छ, तत्काल भाषण देना"
418,Adman,विज्ञापक
419,Admin,प्रशासन
420,Administer,"लागू करना, देना, प्रबंध करना, देना"
421,Administration,"व्यवस्था, प्रशासन काल, शासन, प्रशासन"
422,Administrative,"प्रशासकीय, प्रशासनिक"
423,Administratively,"प्रशासनिक रूप से, प्रशासन द्वारा"
424,Administrator,"व्यवस्थापक, प्रबंधनकर्ता, न्यायाधीश, प्रशासनाधिकारी, प्रबंधक, प्रशासक"
425,Admirable,"सराहनीय, प्रशंसनीय"
426,Admirably,"सराहनीय ढंग से, प्रशंसनीय ढंग से"
427,Admiral,ऐडमिरल
428,Admiralty,"जलसेना-विभाग, नावधिकरण, नौसेना-विभाग"
429,Admiration,"विस्मय, अचरज, सराहना, प्रशंसा"
430,Admire,"समादर करना, सराहना करना, प्रशंसा करना"
431,Admirer,"समर्थक, प्रशंसक, सराहने वाला, तरफ़दार"
432,Admiring,प्रशंसापूर्ण
433,Admiringly,"सराहनीय ढंग से, प्रशंसापूर्ण ढंग से"
434,Admissibility,स्वीकार्यता
435,Admissible,स्वीकार्य
436,Admission,"प्रवेश शुल्क, प्रवेश, दाखिला, स्वीकृति"
